City,Location,Cuisine,Ratings,No. of Reviews
0,11,6,4.1,3083
0,11,28,4.1,3083
0,11,23,4.1,3083
0,11,18,4.1,3083
0,9,39,4.3,40000
0,9,10,4.3,40000
0,9,29,4.3,40000
0,9,15,4.3,40000
0,9,40,4.3,40000
0,9,5,4.3,40000
0,9,13,4.3,40000
0,9,6,4.3,900
0,9,23,4.3,900
0,9,28,4.3,900
0,6,4,4.3,9438
0,6,10,4.3,9438
0,6,15,4.3,9438
0,6,5,4.3,9438
0,7,29,3.9,20000
0,7,28,3.9,20000
0,7,10,3.9,20000
0,7,37,3.9,20000
0,5,29,4,33000
0,5,10,4,33000
0,5,13,4,33000
0,5,15,4,33000
0,5,38,4,33000
0,0,33,3.8,343
0,0,15,3.8,343
0,9,29,4.3,11000
0,9,40,4.3,11000
0,1,29,3.6,1851
0,1,10,3.6,1851
0,6,29,4.2,54000
0,6,13,4.2,54000
0,3,40,4.4,22000
0,9,29,4.2,7092
0,9,7,4.3,7229
0,9,15,4.3,7229
0,9,5,4.3,7229
0,9,29,3.9,15000
0,9,6,3.9,15000
0,9,10,3.9,15000
0,9,15,3.9,15000
0,9,5,3.9,15000
0,9,13,3.9,15000
0,9,29,4.1,12000
0,9,13,4.1,12000
0,9,5,4.1,12000
0,9,6,4.1,12000
0,9,12,4.1,12000
0,0,34,3.8,8701
0,0,29,3.8,8701
0,0,29,4,43000
0,0,15,4,43000
0,0,39,4,43000
0,0,10,4,43000
0,0,13,4,43000
0,9,7,4.2,20000
0,9,15,4.2,20000
0,9,5,4.2,20000
0,1,29,3.7,6275
0,1,10,3.7,6275
0,1,5,3.7,6275
0,1,3,3.7,6275
0,1,15,3.7,6275
0,5,15,4.1,6795
0,5,33,4.1,6795
0,5,10,4.1,6795
0,5,13,4.1,6795
0,5,5,4.1,6795
0,5,29,4.3,27000
0,5,5,4.3,27000
0,9,29,4,6502
0,5,29,3.9,11000
0,6,26,4,29000
0,6,40,4,29000
0,6,15,4,29000
0,6,13,4,29000
0,0,33,4.2,1213
0,0,15,4.2,1213
0,0,5,4.2,1213
0,9,29,3.9,25000
0,9,10,3.9,25000
0,1,15,4.1,4788
0,1,7,4.1,4788
0,1,5,4.1,4788
0,0,29,4,7537
0,9,10,4.1,3436
0,9,15,4.1,3436
0,9,33,4.1,3436
0,5,39,3.9,17000
0,5,29,3.9,17000
0,5,10,3.9,17000
0,5,15,3.9,17000
0,5,13,3.9,17000
0,5,5,3.9,17000
0,5,26,4.1,9555
0,5,29,4.1,9555
0,5,39,4.1,9555
0,5,15,4.1,9555
